@id,name:cy,name,highway,@lat,@lon
24979949,Parc Annefield,Annefield Park,residential,,
24979951,Cwrty Berllan,Orchard Court,residential,,
24979960,Clos Tir Coch,Redland Close,residential,,
24979962,Clos y Ddraenen Lwyd,Greythorne Close,residential,,
24979963,Clos y Ddraenen Lwyd,Greythorne Close,residential,,
24981754,Cwrt yr Ynn,Yew Tree Court,residential,,
24981761,Grin y Eglwys,Church Green,residential,,
24989722,Cilgant Allington,Allington Crescent,residential,,
24998582,Gerddi Crymlyn,Crymlyn Gardens,residential,,
24998605,Heol Mynachlog,Monastery Road,residential,,
24998662,Heol yr Ysgol,School Road,tertiary,,
24998667,Stryd Dewi Sant,Saint David's Street,unclassified,,
25018757,Lon Gelli,Gelli Lane,unclassified,,
25102060,Heol Redwick,Redwick Road,tertiary,,
25113800,Ffordd Tyddyn Coch,Croft Coch Road,residential,,
25164538,Heol Dyfed,Dyfed Road,residential,,
25204199,Heol y Bwlch,Bwlch Road,residential,,
25220831,Clos Bedw,Birchwood Close,residential,,
25220832,Rhodfa Pentwyn,Pentwyn Drive,residential,,
25220834,Rhodfa Coed Cerdinen,Rowan Tree Avenue,residential,,
25331881,Stryd Grandison,Grandison Street,residential,,
25331882,Stryd Caroline,Caroline Street,residential,,
25382057,Teras Rockingham,Rockingham Terrace,residential,,
25382058,Stryd Osterley,Osterley Street,residential,,
25382173,Heol Wheatley,Wheatley Road,residential,,
25382174,Heol y Waun,Meadow Road,residential,,
25382175,Clos y Waun,,residential,,
25382177,Heol Greenwood,Greenwood Road,residential,,
25382178,Heol Walter,,residential,,
25382179,Heol Herbert,Herbert Road,residential,,
25382293,Rhodfa Beechwood,Beechwood Avenue,residential,,
25382344,Heol Maes Mawr,Maes Mawr Road,residential,,
25382460,Heol yr Eglwys,Church Road,residential,,
25382500,Stryd Herbert,Herbert Street,residential,,
25384719,Heol Sant Teilo,Saint Teilo Street,primary,,
25589779,Dyfrbont Pontcysyllte,Pontcysyllte Aqueduct,footway,,
25589783,Ffordd Newydd,New Road,unclassified,,
25653449,"Stryd Y, Dwr",Water Street,residential,,
25691315,Stryd Ritson,Ritson Street,residential,,
25701700,Stryd Fawr,High Street,tertiary,,
25701715,Heol Abergwili,Abergwili Road,tertiary,,
25703397,Heol Caerfyrddin,Carmarthen Road,residential,,
25707732,Heol y Gŵyddau,Saint Catherine Street,secondary,,
25707735,Stryd Las,Blue Street,tertiary,,
25707773,Heol Dŵr,Water Street,unclassified,,
25707804,Heol Pentrefelin,Pentrefelin Street,unclassified,,
25722897,Heol Fforest,Fforest Road,primary,,
